##|##
Frequency0|Frequency1
0.00008400|0.00007527
0.00031015|0.00036692
0.03964695|0.04788785
0.04606955|0.04830182
0.00076244|0.00052686
0.00795394|0.00315175
0.00175103|0.00171230
0.03353450|0.04447267
0.00586692|0.01179791
0.00680382|0.01695362
0.00476203|0.01090413
0.00793456|0.01065952
0.00490418|0.00367862
0.00018738|0.00009408
0.00076890|0.00062094
0.00248117|0.00715966
0.00138919|0.00314235
0.01252859|0.01974786
0.00364421|0.00269075
0.00786348|0.00729137
0.00399313|0.00889077
0.00235840|0.00469470
0.00228732|0.00239910
0.00240363|0.00345282
0.00488479|0.00815693
0.00116305|0.00104431
0.00717858|0.00255904
0.00887792|0.00794995
0.00863885|0.01413115
0.00629337|0.00298241
0.00448419|0.00211685
0.00084644|0.00062094
0.00449711|0.00163703
0.00082059|0.00098786
0.00177041|0.00247436
0.00425158|0.00272838
0.00762441|0.01358547
0.00104028|0.00074325
0.00860008|0.00166526
0.00720442|0.00190046
0.00269439|0.00563553
0.00100151|0.00046100
0.00160888|0.00147709
0.00014215|0.00031988
0.00414174|0.00420548
0.00045230|0.00016935
0.02281509|0.03588296
0.00350206|0.00524979
0.00031015|0.00061153
0.00039414|0.00042337
0.00032953|0.00050804
0.00001938|0.00001882
0.00003231|0.00039515
0.00000646|0.00000941
0.00000646|0.00001882
0.00001292|0.00007527
0.00003231|0.00007527
0.00050399|0.00021639
0.00102090|0.00263430
0.00184795|0.00277543
0.00660998|0.00566375
0.00004523|0.00019757
0.00109197|0.00024461
0.01903519|0.02487534
0.00410943|0.00382915
0.00750811|0.00520275
0.00548570|0.00664221
0.00343099|0.00512748
0.00120181|0.00289773
0.00096274|0.00083733
0.00323715|0.00713143
0.00033599|0.00033870
0.00018092|0.00006586
0.00012923|0.00029165
0.00167996|0.00175934
0.00113720|0.00139242
0.00062029|0.00095023
0.00204825|0.00063035
0.00643552|0.00125129
0.00037476|0.00032929
0.00053629|0.00047982
0.00930437|0.00179697
0.00363775|0.00234265
0.00180272|0.00123248
0.00079475|0.00083733
0.00013569|0.00019757
0.00719796|0.00375388
0.00089813|0.00045159
0.02050838|0.03124471
0.00167349|0.00519334
0.00231317|0.00687741
0.00255870|0.00059272
0.00032953|0.00030106
0.00111136|0.00115721
0.00043291|0.00048923
0.01495807|0.00949290
0.00283654|0.00143946
0.00370236|0.00215448
0.01299381|0.01248471
0.00460049|0.00739486
0.00007754|0.00003763
0.00011630|0.00004704
0.00147319|0.00174993
0.00248763|0.00085615
0.00734011|0.00211685
0.00126643|0.00230501
0.00040707|0.00038574
0.00020030|0.00042337
0.00114366|0.00053627
0.00456173|0.00502399
0.00379928|0.00262489
0.00250701|0.00134538
0.00054922|0.00086556
0.00550508|0.00195691
0.00216456|0.00175934
0.02211080|0.00651049
0.00132458|0.00154295
0.00021969|0.00043278
0.00009046|0.00002822
0.00006461|0.00002822
0.00098213|0.00266253
0.00076244|0.00063035
0.00031015|0.00073384
0.01034465|0.00846740
0.01376917|0.00837332
0.01878966|0.01563647
0.00014861|0.00024461
0.00135043|0.00035751
0.00283654|0.00078088
0.00002585|0.00000000
0.00218394|0.00490168
0.00131812|0.00063976
0.00156365|0.00076207
0.01342026|0.01714178
0.00037476|0.00020698
0.00252639|0.00274720
0.00142150|0.00127011
0.00060091|0.00144887
0.00635152|0.00358453
0.00185441|0.00204158
0.00003231|0.00008467
0.00048460|0.00057390
0.00136335|0.00168407
0.00335345|0.00184401
0.01304550|0.01355725
0.00200302|0.00185342
0.00202241|0.00180638
0.00286885|0.00603067
0.00116951|0.00334933
0.00083352|0.00182520
0.00295931|0.00129833
0.00430327|0.00369743
0.00359898|0.00771474
0.00012277|0.00004704
0.00319838|0.00681155
0.00115012|0.00102550
0.00367652|0.00334933
0.00130520|0.00076207
0.00016800|0.00016935
0.00146027|0.00160881
0.00328884|0.00235206
0.00072367|0.00087496
0.00046522|0.00173111
0.00000646|0.00000941
0.00005169|0.00011290
0.00054275|0.00060213
0.00010984|0.00052686
0.00000646|0.00000000
0.00001292|0.00012231
0.00065906|0.00181579
0.00045876|0.00155236
0.00074952|0.00122307
0.00377990|0.00453476
0.00076890|0.00082792
0.00111136|0.00108195
0.00177688|0.00399849
0.00457465|0.00445950
0.00138273|0.00212626
0.00200949|0.00557908
0.00102090|0.00261549
0.00083998|0.00057390
0.00005815|0.00024461
0.00038768|0.00037633
0.00020030|0.00024461
0.00017446|0.00007527
0.00079475|0.00098786
0.00135043|0.00124189
0.00007754|0.00002822
0.00085290|0.00107254
0.00007754|0.00011290
0.00040707|0.00145827
0.00339222|0.00115721
0.00420635|0.00156176
0.00027784|0.00024461
0.00002585|0.00001882
0.00020030|0.00011290
0.00002585|0.00002822
0.00279777|0.00125129
0.00017446|0.00013172
0.00021969|0.00019757
0.00041353|0.00041396
0.00206764|0.00101609
0.00182211|0.00172170
0.00012923|0.00025402
0.00093044|0.00031988
0.00292054|0.00253081
0.00326945|0.00298241
0.00661644|0.00465707
0.00334699|0.00317057
0.00009046|0.00009408
0.00003231|0.00001882
0.00018092|0.00003763
0.00009046|0.00030106
0.00296577|0.00493932
0.00001938|0.00000941
0.00007108|0.00014112
0.00021969|0.00031047
0.00127935|0.00065858
0.00043937|0.00049864
0.00073013|0.00042337
0.00004523|0.00015994
0.00524663|0.00512748
0.00080767|0.00028225
0.00127289|0.00043278
0.00016153|0.00008467
0.00167996|0.00062094
0.00471680|0.00125129
0.00014861|0.00027284
0.00363775|0.00552263
0.00102736|0.00105372
0.00211287|0.00204158
0.00213871|0.00227679
0.00199656|0.00074325
0.00007754|0.00025402
0.00006461|0.00010349
0.00202241|0.00044219
0.00096921|0.00073384
0.00036830|0.00028225
0.00155719|0.00293537
0.00025845|0.00038574
0.00377344|0.00095023
0.00116305|0.00044219
0.00150550|0.00085615
0.00041353|0.00181579
0.00028430|0.00066798
0.00126643|0.00271898
0.00004523|0.00000941
0.00108551|0.00136419
0.00331468|0.00488287
0.00217748|0.00108195
0.00002585|0.00000941
0.00029722|0.00060213
0.00125997|0.00125129
0.00042645|0.00141123
0.00023907|0.00092201
0.00440019|0.00386678
0.00325007|0.00654812
0.00031661|0.00005645
0.00085290|0.00124189
0.00031661|0.00045159
0.00009046|0.00010349
0.00363775|0.00346223
0.00033599|0.00015053
0.00156365|0.00100668
0.00043291|0.00026343
0.00135689|0.00175934
0.00143442|0.00066798
0.00551801|0.00530624
0.00021323|0.00016935
0.00147319|0.00023521
0.00104028|0.00045159
0.00009692|0.00001882
0.00054922|0.00035751
0.00003231|0.00007527
0.00346975|0.00017876
0.00086582|0.00056449
0.00517556|0.00208863
0.00653244|0.00277543
0.00074306|0.00054568
0.00018738|0.00004704
0.00029076|0.00041396
0.00136335|0.00099727
0.00094982|0.00085615
0.00063968|0.00052686
0.00015507|0.00030106
0.00074952|0.00035751
0.00058152|0.00107254
0.00116951|0.00033870
0.00043291|0.00064917
0.00081413|0.00046100
0.00365713|0.00290714
0.00005169|0.00003763
0.00039414|0.00047041
0.00000646|0.00000000
0.00130520|0.00031988
0.00233902|0.00018816
0.00062675|0.00038574
0.00086582|0.00084674
0.00821240|0.00214507
0.00268147|0.00047982
0.00049753|0.00035751
0.00031015|0.00017876
0.00091105|0.00063976
0.00135689|0.00235206
0.00157011|0.00004704
0.00118243|0.00149591
0.00091751|0.00013172
0.00012277|0.00003763
0.00106613|0.00045159
0.00006461|0.00006586
0.00106613|0.00198514
0.00074306|0.00087496
0.00120181|0.00068680
0.00012923|0.00017876
0.00343745|0.00052686
0.00114366|0.00068680
0.00034245|0.00016935
0.00023907|0.00015994
0.00177041|0.00135478
0.00118889|0.00077147
0.00130520|0.00090319
0.00084644|0.00097846
0.00029076|0.00017876
0.00001938|0.00003763
0.00093044|0.00125129
0.00034891|0.00063976
0.00025845|0.00002822
0.00235840|0.00091260
0.00043291|0.00155236
0.00098859|0.00219212
0.00221625|0.00021639
0.00008400|0.00015994
0.00031015|0.00009408
0.00068490|0.00024461
0.00007754|0.00002822
0.00003877|0.00003763
0.00000646|0.00000000
0.00087228|0.00062094
0.00010338|0.00009408
0.00010984|0.00007527
0.00100151|0.00067739
0.00112428|0.00087496
0.00069137|0.00087496
0.00054922|0.00015053
0.00043937|0.00104431
0.00026492|0.00032929
0.00043937|0.00101609
0.00085290|0.00105372
0.00063321|0.00034810
0.00008400|0.00006586
0.00008400|0.00000000
0.00065260|0.00022580
0.00014215|0.00010349
0.00042645|0.00050804
0.00017446|0.00024461
0.00004523|0.00006586
0.00122120|0.00047982
0.00021969|0.00040455
0.00062029|0.00048923
0.00023907|0.00027284
0.00021323|0.00007527
0.00009046|0.00002822
0.00253932|0.00158058
0.00055568|0.00023521
0.00020030|0.00037633
0.00112428|0.00024461
0.00078829|0.00093141
0.00027784|0.00017876
0.00014215|0.00025402
0.00102736|0.00122307
0.00041999|0.00008467
0.00248763|0.00102550
0.00037476|0.00069621
0.00004523|0.00000000
0.00002585|0.00008467
0.00006461|0.00003763
0.00001292|0.00003763
0.00089813|0.00059272
0.00171226|0.00136419
0.00069783|0.00031988
0.00020030|0.00022580
0.00022615|0.00003763
0.00468449|0.00041396
0.00313376|0.00098786
0.00069137|0.00016935
0.00023907|0.00031047
0.00071721|0.00083733
0.00063321|0.00074325
0.00049753|0.00055509
0.00047814|0.00081852
0.00022615|0.00008467
0.00033599|0.00027284
0.00001938|0.00000000
0.00018738|0.00011290
0.00107905|0.00063976
0.00023261|0.00016935
0.00014215|0.00001882
0.00038768|0.00024461
0.00020030|0.00014112
0.00069137|0.00025402
0.00000646|0.00000000
0.00007108|0.00014112
0.00029076|0.00008467
0.00083352|0.00094082
0.00034891|0.00002822
0.00012277|0.00004704
0.00018738|0.00021639
0.00133750|0.00501458
0.00096274|0.00029165
0.00135043|0.00097846
0.00012923|0.00002822
0.00252639|0.00186283
0.00304977|0.00007527
0.00035538|0.00023521
0.00174457|0.00003763
0.00004523|0.00003763
0.00002585|0.00000941
0.00029722|0.00009408
0.00065260|0.00017876
0.00020030|0.00011290
0.00045876|0.00036692
0.00008400|0.00006586
0.00053629|0.00056449
0.00004523|0.00002822
0.00051691|0.00079970
0.00036830|0.00017876
0.00147319|0.00059272
0.00025199|0.00055509
0.00052337|0.00026343
0.00009692|0.00004704
0.00016800|0.00000000
0.00047168|0.00050804
0.00030368|0.00017876
0.00014215|0.00004704
0.00067844|0.00091260
0.00014861|0.00044219
0.00038768|0.00071502
0.00014215|0.00003763
0.00023907|0.00002822
0.00012277|0.00025402
0.00012923|0.00037633
0.00032953|0.00010349
0.00034245|0.00089378
0.00001938|0.00000941
0.00047168|0.00052686
0.00011630|0.00001882
0.00033599|0.00016935
0.00072367|0.00044219
0.00001292|0.00000000
0.00030368|0.00015053
0.00031661|0.00033870
0.00009046|0.00008467
0.00045876|0.00016935
0.00228086|0.00052686
0.00040060|0.00037633
0.00038122|0.00024461
0.00003877|0.00000000
0.00019384|0.00009408
0.00032307|0.00025402
0.00001938|0.00003763
0.00150550|0.00189105
0.00003877|0.00002822
0.00018738|0.00007527
0.00018738|0.00002822
0.00000646|0.00000000
0.00075598|0.00042337
0.00054275|0.00059272
0.00131166|0.00053627
0.00007754|0.00007527
0.00019384|0.00036692
0.00004523|0.00003763
0.00029722|0.00022580
0.00036184|0.00047041
0.00008400|0.00015053
0.00011630|0.00003763
0.00004523|0.00031047
0.00025199|0.00032929
0.00025845|0.00018816
0.00001938|0.00007527
0.00022615|0.00037633
0.00001292|0.00000941
0.00009046|0.00003763
0.00024553|0.00003763
0.00009692|0.00018816
0.00010984|0.00010349
0.00018092|0.00011290
0.00005815|0.00002822
0.00027784|0.00037633
0.00036830|0.00034810
0.00138273|0.00067739
0.00025199|0.00003763
0.00006461|0.00003763
0.00012277|0.00006586
0.00002585|0.00016935
0.00018738|0.00002822
0.00038768|0.00049864
0.00000646|0.00000000
0.00000646|0.00000000
0.00002585|0.00001882
0.00001292|0.00015053
0.00051045|0.00067739
0.00027784|0.00034810
0.00031661|0.00021639
0.00009046|0.00009408
0.00001292|0.00000941
0.00036184|0.00012231
0.00040707|0.00093141
0.00012277|0.00004704
0.00026492|0.00058331
0.00018092|0.00015994
0.00001292|0.00000000
0.00005169|0.00004704
0.00031015|0.00064917
0.00001292|0.00000941
0.00005169|0.00002822
0.00021323|0.00070562
0.00016153|0.00034810
0.00005815|0.00002822
0.00023907|0.00027284
0.00047814|0.00023521
0.00005169|0.00003763
0.00033599|0.00021639
0.00067198|0.00099727
0.00057506|0.00006586
0.00005169|0.00001882
0.00000646|0.00000941
0.00001938|0.00017876
0.00025845|0.00008467
0.00029076|0.00013172
0.00034891|0.00011290
0.00017446|0.00015053
0.00009692|0.00014112
0.00004523|0.00015994
0.00024553|0.00007527
0.00005815|0.00040455
0.00016800|0.00004704
0.00010984|0.00001882
0.00020030|0.00040455
0.00009692|0.00068680
0.00018738|0.00014112
0.00063968|0.00143005
0.00050399|0.00015994
0.00036184|0.00071502
0.00018738|0.00043278
0.00049106|0.00093141
0.00027138|0.00057390
0.00026492|0.00000000
0.00010338|0.00015053
0.00020676|0.00038574
0.00022615|0.00016935
0.00001938|0.00004704
0.00007754|0.00015053
0.00003877|0.00023521
0.00016800|0.00002822
0.00001938|0.00004704
0.00015507|0.00010349
0.00030368|0.00067739
0.00047814|0.00078088
0.00017446|0.00017876
0.00038768|0.00022580
0.00017446|0.00030106
0.00000646|0.00000000
0.00000646|0.00001882
0.00015507|0.00002822
0.00002585|0.00001882
0.00000646|0.00000000
0.00004523|0.00002822
0.00003877|0.00000941
0.00003877|0.00003763
0.00032307|0.00040455
0.00036184|0.00046100
0.00001292|0.00000000
0.00064614|0.00029165
0.00006461|0.00000941
0.00001292|0.00000000
0.00013569|0.00008467
0.00007754|0.00001882
0.00008400|0.00002822
0.00001292|0.00009408
0.00006461|0.00015053
0.00011630|0.00037633
0.00059445|0.00043278
0.00000646|0.00006586
0.00001938|0.00000000
0.00005815|0.00005645
0.00026492|0.00014112
0.00004523|0.00000941
0.00005169|0.00002822
0.00015507|0.00012231
0.00001292|0.00000000
0.00000646|0.00000000
0.00018738|0.00007527
0.00009046|0.00007527
0.00011630|0.00006586
0.00016153|0.00046100
0.00000646|0.00003763
0.00010984|0.00000000
0.00025845|0.00007527
0.00081413|0.00015053
0.00016153|0.00006586
0.00026492|0.00030106
0.00014861|0.00003763
0.00005169|0.00003763
0.00003231|0.00001882
0.00027784|0.00063035
0.00005169|0.00008467
0.00009692|0.00025402
0.00008400|0.00015053
0.00000646|0.00001882
0.00045876|0.00033870
