##|##
Ngrams|Frequency
0 NNP '' |0.00012880
1 '' IN |0.00053276
2 IN DT |0.03624538
3 DT NN |0.04080605
4 NN NNP |0.00080792
5 NNP NNP |0.00399864
6 NNP IN |0.00171538
7 NN IN |0.02886282
8 IN JJ |0.00526322
9 JJ NNS |0.00683809
10 NNS , |0.00530420
11 , IN |0.00892815
12 IN NNP |0.00436748
13 NNP JJ |0.00016393
14 JJ DT |0.00076109
15 NN VBZ |0.00169781
16 VBZ IN |0.00092502
17 IN NN |0.00974779
18 NN RB |0.00319072
19 RB IN |0.00744110
20 NN CC |0.00382886
21 CC IN |0.00253501
22 IN RB |0.00201981
23 RB DT |0.00224228
24 DT NNS |0.00603016
25 NNS RB |0.00134654
26 RB . |0.00775725
27 PRP MD |0.01139291
28 MD VB |0.00927943
29 VB PRP |0.00708398
30 PRP , |0.00475388
31 , VB |0.00091331
32 PRP RB |0.00442602
33 RB CC |0.00089574
34 CC VB |0.00193785
35 PRP IN |0.00481242
36 NNS IN |0.00730059
37 NNP NN |0.00072596
38 NN VBD |0.00709569
39 VBD IN |0.00799143
40 CC NN |0.00244719
41 NNP : |0.00115920
42 : DT |0.00161585
43 NNS NN |0.00011124
44 NN : |0.00396351
45 : NNP |0.00052691
46 JJ NN |0.02156222
47 NN NN |0.00343661
48 NNP CD |0.00026931
49 CD , |0.00036298
50 , CD |0.00021076
51 CD -LRB- |0.00001171
52 -LRB- NN |0.00001171
53 NN # |0.00000585
54 # CD |0.00002342
55 CD -RRB- |0.00001756
56 -RRB- NN |0.00002342
57 NNP DT |0.00035713
58 NNS VBP |0.00081963
59 VBP VBN |0.00233010
60 VBN IN |0.00678540
61 JJ '' |0.00004098
62 '' DT |0.00062058
63 NN , |0.01756358
64 , RB |0.00416257
65 RB , |0.00683809
66 RB JJ |0.00543886
67 JJ , |0.00424453
68 , JJ |0.00184418
69 JJ RB |0.00087818
70 , DT |0.00276919
71 DT RBR |0.00023418
72 RBR . |0.00013465
73 '' NN |0.00007611
74 NN DT |0.00136996
75 DT VBG |0.00093672
76 VBG NNS |0.00049763
77 NNS VBD |0.00222472
78 VBD VBN |0.00803241
79 NN WRB |0.00058545
80 WRB DT |0.00059131
